,Date & Time,User ID,Username,Tweet Text,Reply ID,Replied URL
0,2019-11-15 10:20:17,1119717009237762049,copiedtwit,"क्लासरूम के बाहर खड़ी इस छोटी सी बच्ची की वायरल तस्वीर का सच क्या है?

वीडियो: दीप्ति बथिनी/नवीन कुमार/संगीतम प्रभाकर https://t.co/mkvAsTz53r",1195285396613058560,https://twitter.com/search?q=%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%BE%E0%A4%B8%E0%A4%B0%E0%A5%82%E0%A4%AE+%E0%A4%95%E0%A5%87+%E0%A4%AC%E0%A4%BE%E0%A4%B9%E0%A4%B0+%E0%A4%96%E0%A4%A1%E0%A4%BC%E0%A5%80+%E0%A4%87%E0%A4%B8+%E0%A4%9B%E0%A5%8B%E0%A4%9F%E0%A5%80+%E0%A4%B8%E0%A5%80+%E0%A4%AC%E0%A4%9A%E0%A5%8D%E0%A4%9A%E0%A5%80+%E0%A4%95%E0%A5%80+%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A4%B2+%E0%A4%A4%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A5%80%E0%A4%B0+%E0%A4%95%E0%A4%BE+%E0%A4%B8%E0%A4%9A+%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE+%E0%A4%B9%E0%A5%88%3F%0A%0A%E0%A4%B5%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A5%8B%3A+%E0%A4%A6%E0%A5%80%E0%A4%AA%E0%A5%8D%E0%A4%A4%E0%A4%BF+%E0%A4%AC%E0%A4%A5%E0%A4%BF%E0%A4%A8%E0%A5%80%2F%E0%A4%A8%E0%A4%B5%E0%A5%80%E0%A4%A8+%E0%A4%95%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%B0%2F%E0%A4%B8%E0%A4%82%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%AE+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AD%E0%A4%BE%E0%A4%95%E0%A4%B0++until%3A2019-11-16
1,2019-11-15 10:20:20,1119717009237762049,copiedtwit,@BBCHindi @copiedtwit,1195285482399129601,https://twitter.com/search?q=%40BBCHindi+%40copiedtwit+until%3A2019-11-16
2,2019-11-15 10:27:47,924895956029423616,KaptaanAmricca,"We take the advice for diet and exercise so seriously, so why not the advice for home safety? Take a step towards safeguarding your homes better by upgrading your locks to  this Home Safety Day. #GodrejHarGharSurakshit",1195287373057163264,https://twitter.com/search?q=We+take+the+advice+for+diet+and+exercise+so+seriously%2C+so+why+not+the+advice+for+home+safety%3F+Take+a+step+towards+safeguarding+your+homes+better+by+upgrading+your+locks+to++this+Home+Safety+Day.+%23GodrejHarGharSurakshit+until%3A2019-11-16
3,2019-11-15 12:03:08,880657273349079043,Mohit4292,Relea5ing tomorrow! 🦁💛,1195311302899458048,https://twitter.com/search?q=Relea5ing+tomorrow%21+%F0%9F%A6%81%F0%9F%92%9B+until%3A2019-11-15
4,2019-11-15 12:54:30,942433644060143616,babygroot_IN,#Breaking | CBI raids Amnesty International India in Bengaluru. https://t.co/4UB1gdQm1F,1195324277622374400,https://twitter.com/search?q=%23Breaking+%7C+CBI+raids+Amnesty+International+India+in+Bengaluru.++until%3A2019-11-16
5,2019-11-15 13:17:31,924895956029423616,KaptaanAmricca,"Healthy or not so healthy, every life is precious.
Our new term insurance plan – ICICI Pru Precious Life offers term life cover for people even with health problems. Truly, a term insurance plan for everybody*.

Know more: https://t.co/U1WhsQ8M4U https://t.co/Ywb3n4WHDT",1195330025827913728,https://twitter.com/search?q=Healthy+or+not+so+healthy%2C+every+life+is+precious.%0AOur+new+term+insurance+plan+%E2%80%93+ICICI+Pru+Precious+Life+offers+term+life+cover+for+people+even+with+health+problems.+Truly%2C+a+term+insurance+plan+for+everybody%2A.%0A%0AKnow+more%3A+++until%3A2019-11-16
6,2019-11-15 17:24:33,1119717009237762049,copiedtwit,अयोध्या विवाद पर हमारी सरकार के कारण आया ऐसा फ़ैसला: बीजेपी सांसद https://t.co/WTVxLNLCqv,1195392826822946816,https://twitter.com/search?q=%E0%A4%85%E0%A4%AF%E0%A5%8B%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%BE+%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%A6+%E0%A4%AA%E0%A4%B0+%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0+%E0%A4%95%E0%A5%87+%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%A3+%E0%A4%86%E0%A4%AF%E0%A4%BE+%E0%A4%90%E0%A4%B8%E0%A4%BE+%E0%A4%AB%E0%A4%BC%E0%A5%88%E0%A4%B8%E0%A4%B2%E0%A4%BE%3A+%E0%A4%AC%E0%A5%80%E0%A4%9C%E0%A5%87%E0%A4%AA%E0%A5%80+%E0%A4%B8%E0%A4%BE%E0%A4%82%E0%A4%B8%E0%A4%A6++until%3A2019-11-16
7,2019-11-15 17:27:13,1119717009237762049,copiedtwit,@BBCHindi @copiedtwit,1195394343437131776,https://twitter.com/search?q=%40BBCHindi+%40copiedtwit+until%3A2019-11-16
8,2019-11-15 17:33:15,1119717009237762049,copiedtwit,@copiedtwit https://t.co/pXLYLJve8W,1195394502866767873,https://twitter.com/search?q=%40copiedtwit++until%3A2019-11-16
9,2019-11-15 17:33:53,1119717009237762049,copiedtwit,@copiedtwit https://t.co/XstTgDjOnl,1195394603169599488,https://twitter.com/search?q=%40copiedtwit++until%3A2019-11-16
